#t,tx,ty,tz,qx,qy,qz,qw
0,0,0,0,-0.0889979614328307,-0.791741656899619,-0.0238129896806669,0.603868738314143
0.00499968,6.99999999920209e-06,1.09999999999832e-05,3.99999999989298e-06,-0.0889940085177061,-0.791747075778908,-0.0238170022795493,0.603862057796244
0.009999872,1.1999999999901e-05,1.89999999999912e-05,9.99999999995449e-06,-0.0889869802127238,-0.791742823946898,-0.0238119947051298,0.603868865722828
0.014999808,1.69999999997117e-05,2.49999999999417e-05,1.79999999999625e-05,-0.0889890300591203,-0.79172926743392,-0.0237900080358976,0.603887203983772
0.02,2.29999999996622e-05,3.199999999981e-05,2.3999999999913e-05,-0.0889950030793159,-0.791724027394443,-0.0237690008224311,0.603894020895338
0.02499968,2.89999999996127e-05,3.9999999999818e-05,2.69999999999992e-05,-0.0890030586239309,-0.79173052149169,-0.0237670156546965,0.603884397762479
0.029999872,3.49999999995632e-05,4.89999999999657e-05,3.29999999999497e-05,-0.0890029921827337,-0.791729930461176,-0.0237729979119821,0.603884946959882
0.034999808,3.99999999993739e-05,5.9999999999949e-05,3.79999999999825e-05,-0.0890039946317689,-0.791728952247266,-0.0237759985659626,0.603885963576921
0.04,4.59999999993244e-05,7.09999999999322e-05,3.9999999999929e-05,-0.089017036351405,-0.791739323318299,-0.0237810097113221,0.603870246599222
0.04499968,5.19999999992748e-05,7.79999999998005e-05,4.29999999999042e-05,-0.0890259960756452,-0.791749965098871,-0.0237809989517098,0.60385497338147
0.049999872,6.29999999999242e-05,6.7999999999957e-05,3.5999999999925e-05,-0.0890100088483519,-0.791741078705797,-0.0237790023638349,0.60386906002972
0.054999808,6.59999999994554e-05,6.7999999999957e-05,4.49999999999617e-05,-0.0890120177603026,-0.79172815797116,-0.023743004737371,0.603887120491798
0.059999744,6.79999999997349e-05,7.09999999999322e-05,5.29999999999697e-05,-0.0890210178527663,-0.79171815877553,-0.0237120047553364,0.603900121109464
0.06499968,7.00000000000145e-05,7.5999999999965e-05,5.69999999999737e-05,-0.0890340246208045,-0.791719218936125,-0.0237030065546524,0.603897166997217
0.069999872,7.19999999994059e-05,8.3999999999973e-05,6.19999999998955e-05,-0.0890439932368417,-0.791714939866877,-0.0237119981990027,0.603900954131913
0.074999808,7.29999999995457e-05,9.29999999998987e-05,6.49999999999817e-05,-0.0890489758579795,-0.791715785358358,-0.0237189935695563,0.603898836277311
0.079999744,7.39999999996854e-05,0.000100999999999907,6.69999999999282e-05,-0.089057990635063,-0.791720916746196,-0.0237149975062376,0.60389093649755
0.084999936,7.49999999998252e-05,0.000108999999999915,6.89999999999857e-05,-0.0890679472724142,-0.79172853130239,-0.0237109859632664,0.603879642507585
0.089999872,7.49999999998252e-05,0.000113999999999947,7.49999999999362e-05,-0.0890649977297777,-0.791730979819174,-0.0237079993956949,0.603876984607478
0.095000064,7.99999999996359e-05,0.000108999999999915,7.5999999999965e-05,-0.0890409680910616,-0.791711716280261,-0.0237079915039465,0.603905783582853
0.099999744,8.19999999999155e-05,0.000113999999999947,8.29999999999442e-05,-0.0890410087958721,-0.791709078208589,-0.0236870023399089,0.603910059656956
0.104999936,8.29999999991671e-05,0.000120999999999816,8.59999999999195e-05,-0.0890470035218537,-0.791717031312805,-0.023680000936556,0.603899023884509
0.109999872,8.29999999991671e-05,0.000131999999999799,8.69999999999482e-05,-0.0890530400645708,-0.791730356196005,-0.0236900106580314,0.603880271683078
0.114999808,8.29999999991671e-05,0.000143999999999922,8.99999999999235e-05,-0.0890620072677717,-0.791742064608926,-0.0237040019343297,0.603863049277341
0.119999744,8.29999999991671e-05,0.000155999999999823,9.39999999999275e-05,-0.0890769698507025,-0.791744732023352,-0.0237179919723269,0.60385679561655
0.124999936,8.29999999991671e-05,0.000165999999999888,9.69999999999027e-05,-0.0890799799932178,-0.79174682217883,-0.023736994668826,0.603852864378587
0.129999872,8.19999999999155e-05,0.000171999999999839,0.000100999999999907,-0.0890710289447044,-0.791753257289764,-0.0237510077181764,0.603845196226775
0.134999808,8.09999999997757e-05,0.000175999999999954,0.000105999999999939,-0.0890609689050809,-0.791750723566617,-0.0237309917145156,0.603850789170364
0.139999744,7.99999999996359e-05,0.000180999999999987,0.000112000000000001,-0.0890479879850228,-0.791744893172244,-0.0236909968034451,0.603861918522729
0.144999936,7.89999999994961e-05,0.000187999999999855,0.000113999999999947,-0.0890399784513929,-0.791750808388014,-0.0236779942696774,0.60385585386056
0.149999872,8.90000000000057e-05,0.00018499999999988,0.000102999999999964,-0.0890309921995499,-0.791753930630482,-0.0237069979229115,0.603851947093514
0.154999808,9.19999999995369e-05,0.000195999999999863,9.9999999999989e-05,-0.0890509998084514,-0.791758998296927,-0.0237159999489869,0.603841998701136
0.159999744,9.49999999999562e-05,0.000207999999999986,9.79999999999315e-05,-0.0890819748232549,-0.791770776226212,-0.0237199932961496,0.603821829345181
0.164999936,9.69999999993476e-05,0.000218999999999969,9.69999999999027e-05,-0.0891020284767901,-0.791774253049112,-0.0237230075818152,0.603814192977537
0.169999872,9.99999999997669e-05,0.000227999999999895,9.5999999999985e-05,-0.0891049815688593,-0.791774836223372,-0.0237259950923376,0.603812875102829
0.174999808,0.000101999999999158,0.000232999999999928,9.5999999999985e-05,-0.0890860258087153,-0.791791229386307,-0.0237260068735555,0.603794174922518
0.179999744,0.000103999999999438,0.000235999999999903,0.000101999999999935,-0.0890469888362685,-0.791786900734474,-0.0237179970264985,0.60380592430146
0.184999936,0.000106999999999857,0.000242999999999993,0.000107999999999997,-0.0890030282476522,-0.791775251292481,-0.023705007523461,0.603828191642116
